Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Pred Targets,Pred Receptions,Pred Receiving Yards,Pred Snap%,Pred Tds
Josh Palmer,4,1,1,25,56,0,Josh Palmer,5,6,3,24,73,0,Josh Palmer,6,12,9,57,87,0,5.0,4.0,49.0,67.0,0.0
Marquez Valdes-Scantling,5,8,6,90,81,0,Marquez Valdes-Scantling,6,3,0,0,82,0,Marquez Valdes-Scantling,7,4,3,111,55,0,6.0,4.0,47.0,82.0,0.0
JuJu Smith-Schuster,5,8,3,33,86,0,JuJu Smith-Schuster,6,5,5,113,88,1,JuJu Smith-Schuster,7,8,7,124,55,1,6.0,3.0,49.0,87.0,0.0
Mecole Hardman,5,5,4,73,40,0,Mecole Hardman,6,4,3,42,45,1,Mecole Hardman,7,4,4,32,63,1,4.0,2.0,29.0,52.0,0.0
Braxton Berrios,3,1,0,0,31,0,Braxton Berrios,6,1,1,6,29,0,Braxton Berrios,7,4,3,15,56,0,2.0,2.0,21.0,39.0,0.0
Corey Davis,4,6,5,74,74,1,Corey Davis,5,4,2,38,76,0,Corey Davis,6,4,2,52,85,0,6.0,4.0,45.0,79.0,0.0
Garrett Wilson,5,4,3,27,56,0,Garrett Wilson,6,5,1,8,44,0,Garrett Wilson,7,4,4,24,73,0,4.0,3.0,36.0,55.0,0.0
Elijah Moore,3,9,4,49,94,0,Elijah Moore,4,4,3,53,90,0,Elijah Moore,5,4,1,11,66,0,7.0,4.0,55.0,89.0,0.0
Amari Cooper,5,12,7,76,90,1,Amari Cooper,6,12,4,44,76,1,Amari Cooper,7,4,3,74,95,0,8.0,5.0,61.0,83.0,0.0
David Bell,5,1,1,6,43,0,David Bell,6,2,1,13,63,0,David Bell,7,1,1,7,57,0,4.0,3.0,34.0,59.0,0.0
Donovan Peoples-Jones,5,7,4,50,88,0,Donovan Peoples-Jones,6,5,4,74,87,0,Donovan Peoples-Jones,7,6,6,71,93,0,7.0,4.0,54.0,87.0,0.0
